id,city,overall_grade,population,stability,talent,location
1,Atlanta,B+,A+,B+,B,C+
2,Austin,A-,A+,B+,B,A
3,Boston,B+,A+,B ,A-,C
4,Chicago,B-,A+,D-,B-,B
5,"Columbus, Ohio",B,A+,C-,B-,B+
6,Dallas,A-,A+,B+,B,A
7,Denver,B+,A+,B+,A-,B-
8,Indianapolis,B,A+,B+,D+,B
9,Los Angeles,B,A+,C ,B+,C+
10,Miami,B+,A+,B+,C+,B+
11,"Montgomery County, Maryland",B-,A+,C,B-,C-
12,Nashville,B+,A+,A-,C-,B+
13,New York,B-,A+,D+,B-,B-
14,"Newark, New Jersey",C+,A+,D,B-,D
15,Northern Virginia,B+,A+,B+,A-,B-
16,Philadelphia,B-,A+,C-,B-,B-
17,Pittsburgh,B-,A+,C-,B-,B-
18,"Raleigh, North Carolina",B,A+,B+,B,C+
19,Toronto,B-,A+,C-,C+,C+
20,"Washington, D.C",B-,A+,B-,B+,D-
