state,energy,internet_access,transportation,development_rank,population,population_change,net_migration,migration_percentage,median_household_income_2016,population_rank,stability_taxes_rank,corporate_taxes,individual_taxes,sales_taxes,property_taxes,violent_crime_per_100000_citizens,property_crime_per_100000_citizens,violent_crimes_rank,property_crimes_rank,unemployment,unemployment_rank,average,stability_rank,total_2011_2015,urban_2011_2015,rural_2011_2015,rank_completion_graduate,number_top100,rank_top100,talent_rank
ALABAMA,16,45,27,32,4858979,14202,8315,0,46309,47,39,20,30,48,15,472.4,2978.9,41,41,5.9,46,41.75,48,0.2401,0.27061,0.14436,45,5,12,31
ALASKA,47,40,14,42,738432,-1727,-8381,-1,76144,3,2,25,1,5,23,730.2,2817.6,50,34,6.9,51,34.25,42,0.28792,0.3139,0.23515,27,1,40,40
ARIZONA,9,30,7,12,6828065,107628,79316,1,53481,31,27,17,19,47,5,410.2,3033.2,34,44,5.4,39,36,44,0.27956,0.28644,0.14954,31,3,22,29
ARKANSAS,40,46,4,46,2978204,16048,8217,0,44406,49,46,40,40,44,26,521.3,3251.5,45,45,3.9,12,37,45,0.21506,0.25573,0.15284,49,2,28,48
CALIFORNIA,36,32,41,38,39144818,240177,26672,0,67715,10,49,31,49,43,14,426.3,2618.3,38,26,5.5,42,38.75,47,0.31996,0.32223,0.22488,15,16,3,5
COLORADO,12,22,18,14,5456574,77049,46626,1,65718,13,18,16,14,38,12,321,2641.5,23,28,3.3,7,19,12,0.38707,0.40015,0.3035,3,5,12,3
CONNECTICUT,44,18,40,41,3590886,499,-4512,0,73380,7,47,29,43,30,50,218.5,1812,6,7,5.1,33,23.25,21,0.38048,0.38282,0.34017,5,2,28,12
DELAWARE,32,31,5,18,945934,9241,7206,1,62112,16,11,50,41,2,9,499,2691,43,30,4.5,21,26.25,28,0.30475,0.30475,0,20,0,49,42
DISTRICT OF COLUMBIA,,,,,672228,9636,5312,1,74093,6,46,27,45,25,47,1269.1,4676.2,51,51,6.1,48,49,51,0.5536,0.5536,0,1,0,49,25
FLORIDA,15,16,6,11,20271272,327811,305019,2,50857,39,4,6,1,22,11,461.9,2813.2,40,33,4.8,25,25.5,24,0.27883,0.28391,0.14066,32,9,6,16
GEORGIA,22,33,10,17,10214860,115759,66977,1,53468,32,33,8,38,29,24,378.3,3022.3,27,43,5.4,39,35.5,43,0.29412,0.32402,0.15708,23,0,49,44
HAWAII,48,3,33,27,1431603,-1145,-6834,0,74659,5,38,14,47,24,16,293.4,3796.2,20,50,2.9,1,27.25,32,0.31369,0.32243,0.27644,19,1,40,32
IDAHO,11,6,21,10,1654930,36917,26525,2,51647,38,21,26,23,26,4,215.6,1743.8,5,5,3.8,10,10.25,2,0.26249,0.28361,0.21988,40,1,40,49
ILLINOIS,13,21,17,13,12859995,-33703,-81080,-1,60977,19,36,39,13,36,45,383.8,1988.6,30,16,5.8,44,31.5,37,0.32894,0.35,0.17572,13,9,6,6
INDIANA,27,4,20,30,6619680,32811,10434,0,52289,36,10,18,15,12,2,387.5,2596,31,25,4.4,19,21.25,16,0.24611,0.2726,0.15628,43,4,16,32
IOWA,5,1,37,1,3123899,14842,4112,0,56354,27,45,48,42,19,39,286.1,2047.3,18,18,3.6,9,22.5,20,0.27172,0.32912,0.19485,36,2,28,35
KANSAS,24,20,12,16,2911641,5392,-7952,0,54828,30,28,34,21,31,20,389.9,2720.1,32,31,4,15,26.5,29,0.3161,0.36788,0.2107,17,2,28,21
KENTUCKY,29,36,16,22,4425092,18076,8038,0,46610,46,23,27,17,14,35,218.7,2177.6,7,20,5.1,33,20.75,14,0.22699,0.28199,0.15177,48,2,28,47
LOUISIANA,39,35,45,44,4670724,-1824,-19819,0,45374,48,44,36,32,50,32,539.7,3353.4,46,47,6,47,46,50,0.22958,0.24634,0.1433,47,5,12,32
MAINE,42,29,46,43,1329328,5675,6954,1,52926,33,30,41,24,7,41,130.1,1830,2,9,3.8,10,12.75,6,0.29316,0.33119,0.2401,25,2,28,29
MARYLAND,34,26,23,25,6006401,27425,5047,0,78787,1,40,22,45,18,42,457.2,2315,39,23,4.4,19,30.25,35,0.38412,0.38794,0.24521,4,4,16,7
MASSACHUSETTS,45,24,42,45,6794422,36098,22209,0,75207,4,29,37,11,13,46,390.9,1690.7,33,4,3.9,12,19.5,13,0.41222,0.41285,0.37231,2,11,5,1
MICHIGAN,46,38,26,40,9922576,28866,10481,0,52436,34,13,11,12,11,22,415.5,1885.6,36,11,5,29,22.25,19,0.2741,0.29233,0.19535,35,6,10,21
MINNESOTA,10,7,3,6,5489594,51556,24401,0,65583,14,43,42,46,27,31,242.6,2222.1,12,21,3.9,12,22,18,0.34241,0.38171,0.21223,11,1,40,28
MISSISSIPPI,38,47,47,49,2992333,-1315,-7798,0,41793,51,31,15,27,35,36,275.8,2833.6,16,36,5.8,44,31.75,40,0.21023,0.25233,0.17473,50,4,16,37
MISSOURI,17,10,39,20,6083672,22356,7026,0,51713,37,14,4,25,25,7,497.4,2854.2,42,37,4.6,22,28.75,34,0.27635,0.31649,0.16055,33,5,12,21
MONTANA,7,50,8,34,1032949,11837,8962,1,50265,41,5,12,22,3,10,349.6,2623.6,26,27,4.1,17,18.75,11,0.29934,0.3231,0.28658,22,2,28,25
NEBRASKA,4,34,29,9,1896190,12473,1360,0,56979,23,24,28,26,9,40,274.9,2241.1,15,22,3.1,4,16.25,9,0.29985,0.3509,0.21171,21,4,16,14
NEVADA,8,8,1,5,2890845,58785,46184,2,55201,28,9,33,5,40,8,695.9,2668.3,49,29,5.7,43,32.5,41,0.23181,0.23846,0.17099,46,2,28,45
NEW HAMPSHIRE,41,14,44,37,1330608,7780,6923,1,70986,8,6,45,9,1,44,199.3,1745.7,4,6,2.9,1,4.25,1,0.35467,0.37297,0.3249,9,2,28,14
NEW JERSEY,35,19,38,28,8958013,27228,-332,0,76212,2,50,47,50,45,48,255.4,1626.5,13,3,5,29,23.75,22,0.37465,0.37465,0,6,4,16,8
