State,Population,"Violent crime per 100000 citizens","Property crime per 100000 citizens"
ALABAMA,"4,858,979",472.4,"2,978.9"
ALASKA,"738,432",730.2,"2,817.6"
ARIZONA,"6,828,065",410.2,"3,033.2"
ARKANSAS,"2,978,204",521.3,"3,251.5"
CALIFORNIA,"39,144,818",426.3,"2,618.3"
COLORADO,"5,456,574",321.0,"2,641.5"
CONNECTICUT,"3,590,886",218.5,"1,812.0"
DELAWARE,"945,934",499.0,"2,691.0"
DISTRICT OF COLUMBIA4,"672,228","1,269.1","4,676.2"
FLORIDA,"20,271,272",461.9,"2,813.2"
GEORGIA5,"10,214,860",378.3,"3,022.3"
HAWAII,"1,431,603",293.4,"3,796.2"
IDAHO,"1,654,930",215.6,"1,743.8"
ILLINOIS,"12,859,995",383.8,"1,988.6"
INDIANA6,"6,619,680",387.5,"2,596.0"
IOWA,"3,123,899",286.1,"2,047.3"
KANSAS,"2,911,641",389.9,"2,720.1"
KENTUCKY,"4,425,092",218.7,"2,177.6"
LOUISIANA,"4,670,724",539.7,"3,353.4"
MAINE6,"1,329,328",130.1,"1,830.0"
MARYLAND,"6,006,401",457.2,"2,315.0"
MASSACHUSETTS,"6,794,422",390.9,"1,690.7"
MICHIGAN,"9,922,576",415.5,"1,885.6"
MINNESOTA,"5,489,594",242.6,"2,222.1"
MISSISSIPPI6,"2,992,333",275.8,"2,833.6"
MISSOURI,"6,083,672",497.4,"2,854.2"
MONTANA,"1,032,949",349.6,"2,623.6"
NEBRASKA6,"1,896,190",274.9,"2,241.1"
NEVADA,"2,890,845",695.9,"2,668.3"
NEW HAMPSHIRE,"1,330,608",199.3,"1,745.7"
NEW JERSEY,"8,958,013",255.4,"1,626.5"
NEW MEXICO5,"2,085,109",656.1,"3,697.4"
NEW YORK6,"19,795,791",379.7,"1,604.0"
NORTH CAROLINA5,"10,042,802",347.0,"2,750.1"
NORTH DAKOTA,"756,927",239.4,"2,116.5"
OHIO6,"11,613,423",291.9,"2,587.7"
OKLAHOMA,"3,911,338",422.0,"2,885.9"
OREGON6,"4,028,977",259.8,"2,946.6"
PENNSYLVANIA,"12,802,503",315.1,"1,812.8"
RHODE ISLAND6,"1,056,298",242.5,"1,897.5"
SOUTH CAROLINA,"4,896,146",504.5,"3,293.3"
SOUTH DAKOTA,"858,469",383.1,"1,943.0"
TENNESSEE,"6,600,299",612.1,"2,936.2"
TEXAS,"27,469,114",412.2,"2,831.3"
UTAH6,"2,995,919",236.0,"2,980.0"
VERMONT,"626,042",118.0,"1,406.6"
VIRGINIA,"8,382,993",195.6,"1,866.5"
WASHINGTON6,"7,170,351",284.4,"3,463.8"
WEST VIRGINIA,"1,844,128",337.9,"2,020.0"
WISCONSIN6,"5,771,337",305.8,"1,974.0"
WYOMING,"586,107",222.1,"1,902.6"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
