SUMLEV,REGION,DIVISION,STATE,NAME,POPESTIMATE2017,NPOPCHG_2017,BIRTHS2017,DEATHS2017,NATURALINC2017,INTERNATIONALMIG2017,DOMESTICMIG2017,NETMIG2017,RESIDUAL2017,RBIRTH2017,RDEATH2017,RNATURALINC2017,RINTERNATIONALMIG2017,RDOMESTICMIG2017,RNETMIG2017,NORM_POP
40,3,6,1,Alabama,4874747,14202,58389,52390,5999,4475,3840,8315,-112,11.99532587,10.76290264,1.232423229,0.919335547,0.788882347,1.708217894,0.12329690629098
40,4,9,2,Alaska,739795,-1727,11163,4543,6620,1557,-9938,-8381,34,15.07172334,6.133730998,8.937992341,2.102183395,-13.41778971,-11.31560632,0.0187116243754877
40,4,8,4,Arizona,7016270,107628,85634,57553,28081,16205,63111,79316,231,12.2993955,8.266192275,4.033203226,2.32748329,9.064473801,11.39195709,0.177462416962812
40,3,7,5,Arkansas,3004279,16048,38236,30395,7841,3499,4718,8217,-10,12.76126364,10.14433017,2.616933472,1.167791126,1.574632333,2.742423459,0.0759871858652274
40,4,9,6,California,39536653,240177,487916,273977,213939,164867,-138195,26672,-434,12.37845069,6.950808714,5.427641975,4.182683146,-3.506013316,0.67666983,1
40,4,8,8,Colorado,5607154,77049,67638,37427,30211,9973,36653,46626,212,12.14625609,6.721043302,5.425212793,1.790925397,6.582050395,8.372975792,0.141821666087921
40,1,1,9,Connecticut,3588184,499,35183,30245,4938,17758,-22270,-4512,73,9.80592037,8.429641065,1.376279305,4.949365715,-6.206913755,-1.257548041,0.0907558866958212
40,3,5,10,Delaware,961939,9241,11010,9005,2005,2722,4484,7206,30,11.50087458,9.406482795,2.094391783,2.84335882,4.683916586,7.527275405,0.0243303093967008
40,3,5,11,District of Columbia,693972,9636,9715,5422,4293,4160,1152,5312,31,14.09699429,7.867617398,6.229376888,6.036386642,1.671614762,7.708001405,0.0175526238905453
40,3,5,12,Florida,20984400,327811,225447,203428,22019,144165,160854,305019,773,10.82812899,9.770565248,1.057563739,6.924187127,7.725753104,14.64994023,0.530758129677795
40,3,5,13,Georgia,10429379,115759,130814,82029,48785,25870,41107,66977,-3,12.61283385,7.909078143,4.703755711,2.494335559,3.963457743,6.457793302,0.263790134182577
40,4,9,15,Hawaii,1427538,-1145,18019,12303,5716,6703,-13537,-6834,-27,12.617371,8.614879591,4.002491404,4.693614395,-9.478958386,-4.785343991,0.0361066982579431
40,4,8,16,Idaho,1716943,36917,22981,12653,10328,1928,24597,26525,64,13.53029716,7.44958226,6.080714896,1.135129582,14.48173357,15.61686315,0.0434266147921019
40,2,3,17,Illinois,12802023,-33703,153991,106830,47161,33699,-114779,-81080,216,12.01283311,8.333804969,3.679028139,2.628857939,-8.953906211,-6.325048272,0.323801385008488
40,2,3,18,Indiana,6666818,32811,83021,60476,22545,11410,-976,10434,-168,12.48358654,9.093571263,3.390015281,1.71568305,-0.146757814,1.568925236,0.168623732514738
40,2,4,19,Iowa,3145711,14842,39076,28310,10766,6836,-2724,4112,-36,12.45136683,9.020836188,3.430530639,2.178256312,-0.867988618,1.310267694,0.0795644234224885
40,2,4,20,Kansas,2913123,5392,38205,24821,13384,6198,-14150,-7952,-40,13.12693979,8.528301861,4.598637932,2.129584422,-4.861829553,-2.732245131,0.0736815784583485
40,3,6,21,Kentucky,4454189,18076,54895,44749,10146,7014,1024,8038,-108,12.34941175,10.06692461,2.282487142,1.577899154,0.230363378,1.808262532,0.112659738799842
40,3,7,22,Louisiana,4684333,-1824,63066,45049,18017,7696,-27515,-19819,-22,13.46055543,9.615078827,3.845476597,1.642603535,-5.872691823,-4.230088288,0.118480767706867
40,1,1,23,Maine,1335907,5675,12504,13739,-1235,1578,5376,6954,-44,9.379856039,10.30628936,-0.926433318,1.183734231,4.03279799,5.216532221,0.0337890766828441
40,3,5,24,Maryland,6052177,27425,72422,49928,22494,29031,-23984,5047,-116,11.99344635,8.268327155,3.725119192,4.807679171,-3.971870663,0.835808507,0.153077626474856
40,1,1,25,Massachusetts,6859819,36098,71168,57119,14049,45298,-23089,22209,-160,10.40198662,8.348570618,2.053416002,6.620801342,-3.374711515,3.246089828,0.173505304052925
40,2,3,26,Michigan,9962311,28866,112143,93495,18648,23179,-12698,10481,-263,11.27305743,9.398486793,1.874570637,2.330044659,-1.276453129,1.05359153,0.251976589925303
40,2,4,27,Minnesota,5576606,51556,69233,41854,27379,16460,7941,24401,-224,12.47255364,7.540136354,4.93241729,2.965323372,1.430597381,4.395920753,0.14104901595995
40,3,6,28,Mississippi,2984100,-1315,37373,30875,6498,2087,-9885,-7798,-15,12.52128523,10.34422394,2.177061286,0.699219283,-3.31182684,-2.612607557,0.0754767987062537
40,2,4,29,Missouri,6113532,22356,73790,58382,15408,8076,-1050,7026,-78,12.09205497,9.567127702,2.524927266,1.323423715,-0.172064747,1.151358967,0.154629477614102
40,4,8,30,Montana,1050493,11837,12509,9665,2844,296,8666,8962,31,11.97521096,9.252571262,2.722639697,0.28336897,8.296200989,8.579569959,0.0265701044547195
40,2,4,31,Nebraska,1920076,12473,26449,15289,11160,4853,-3493,1360,-47,13.81986316,7.988653176,5.831209984,2.535740327,-1.825126924,0.710613403,0.0485644548616698
40,4,8,32,Nevada,2998039,58785,36657,24237,12420,7957,38227,46184,181,12.34805155,8.16432674,4.183724805,2.680346077,12.87691209,15.55725817,0.0758293576342944
